epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.53378,5.28946,8.07686,2.91587,0,0,0,0,4.77309,5.60476,2.60062,4e-05,4e-05,4e-05
2,12.9308,5.089,7.71931,2.60161,0,0,0,0,4.77309,5.60476,2.60062,9.802e-05,9.802e-05,9.802e-05
3,18.9243,4.66855,6.02455,2.31946,0,0,0,0,4.61378,11.4223,2.4901,0.000153664,0.000153664,0.000153664
4,24.6409,3.94592,4.37494,2.14966,0,0,0,0,4.61378,11.4223,2.4901,0.000206932,0.000206932,0.000206932
5,30.3115,3.65857,4.32727,2.1494,0,0,0,0,4.61378,11.4223,2.4901,0.000257824,0.000257824,0.000257824
6,35.966,3.90112,4.91868,2.41549,0,0,0,0,4.61378,11.4223,2.4901,0.00030634,0.00030634,0.00030634
7,41.7808,4.16623,6.51306,2.08827,0,0,0,0,4.61378,11.4223,2.4901,0.00035248,0.00035248,0.00035248
8,47.5821,2.98956,4.63555,1.69765,0.2432,0.43478,0.157,0.03251,3.45731,7.49401,1.85975,0.000396244,0.000396244,0.000396244
9,53.3045,3.17145,5.28512,1.48495,0.2432,0.43478,0.157,0.03251,3.45731,7.49401,1.85975,0.000437632,0.000437632,0.000437632
10,59.0523,2.82267,2.73294,1.38695,0.2432,0.43478,0.157,0.03251,3.45731,7.49401,1.85975,0.000476644,0.000476644,0.000476644
11,64.801,4.15309,3.68161,1.64325,0.2432,0.43478,0.157,0.03251,3.45731,7.49401,1.85975,0.00051328,0.00051328,0.00051328
12,70.5496,2.9918,4.03048,1.49699,0.2432,0.43478,0.157,0.03251,3.45731,7.49401,1.85975,0.00054754,0.00054754,0.00054754
13,76.3531,2.90196,4.09369,1.36272,0.2432,0.43478,0.157,0.03251,3.45731,7.49401,1.85975,0.000579424,0.000579424,0.000579424
14,82.1539,3.00344,4.95428,1.47452,0.2432,0.43478,0.157,0.03251,3.45731,7.49401,1.85975,0.000608932,0.000608932,0.000608932
15,87.9515,2.57508,3.5376,1.47664,0.2432,0.43478,0.157,0.03251,3.45731,7.49401,1.85975,0.000636064,0.000636064,0.000636064
16,93.7137,4.46289,10.2195,1.51959,0.2432,0.43478,0.157,0.03251,3.45731,7.49401,1.85975,0.00066082,0.00066082,0.00066082
17,99.4167,2.84121,5.08261,1.54025,0.2432,0.43478,0.157,0.03251,3.45731,7.49401,1.85975,0.0006832,0.0006832,0.0006832
18,105.12,2.66073,2.96272,1.46524,0.2432,0.43478,0.157,0.03251,3.45731,7.49401,1.85975,0.000703204,0.000703204,0.000703204
19,110.964,3.45067,5.18312,1.4264,0.2432,0.43478,0.157,0.03251,3.45731,7.49401,1.85975,0.000720832,0.000720832,0.000720832
20,116.878,2.5677,4.02442,1.57118,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.000736084,0.000736084,0.000736084
21,122.512,3.61852,6.31465,1.75036,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.00074896,0.00074896,0.00074896
22,128.263,4.31175,7.45574,1.80877,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.00075946,0.00075946,0.00075946
23,133.935,3.04936,5.80654,1.43977,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.000767584,0.000767584,0.000767584
24,139.622,3.44426,5.71934,1.7266,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.000773332,0.000773332,0.000773332
25,145.547,4.55543,6.78936,1.74051,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.000776704,0.000776704,0.000776704
26,151.202,3.02818,5.55732,1.438,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.0007777,0.0007777,0.0007777
27,157.029,2.96658,5.56497,1.59542,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.00077632,0.00077632,0.00077632
28,162.676,3.10655,7.45397,1.37384,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.000772564,0.000772564,0.000772564
29,168.338,2.87546,5.61951,1.56011,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.000766432,0.000766432,0.000766432
30,173.993,3.00324,9.88234,1.39902,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.000757924,0.000757924,0.000757924
31,179.782,2.87411,5.56643,1.3893,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.00074704,0.00074704,0.00074704
32,185.586,4.16197,7.29191,1.90923,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.00073378,0.00073378,0.00073378
33,191.278,3.59486,6.40161,1.53204,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.000718144,0.000718144,0.000718144
34,196.938,3.57247,6.75021,1.48812,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.0006932,0.0006932,0.0006932
35,202.536,3.0365,6.02917,1.57221,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.0006536,0.0006536,0.0006536
36,208.195,2.86859,5.41302,1.55626,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.000614,0.000614,0.000614
37,213.93,3.75802,7.31025,1.63302,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.0005744,0.0005744,0.0005744
38,219.766,3.37374,6.67836,1.81813,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.0005348,0.0005348,0.0005348
39,225.379,3.57358,9.38065,1.75177,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.0004952,0.0004952,0.0004952
40,230.996,3.80044,7.12157,1.76825,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.0004556,0.0004556,0.0004556
41,236.728,5.27563,16.4222,1.91112,0.00667,0.08696,0.00071,0.00014,2.99958,9.12748,1.63325,0.000416,0.000416,0.000416
42,242.468,3.02236,4.87957,1.49609,0.01333,0.17391,0.00299,0.00067,2.70648,3.25236,1.34681,0.0003764,0.0003764,0.0003764
43,248.185,2.82917,4.22743,1.33826,0.01333,0.17391,0.00299,0.00067,2.70648,3.25236,1.34681,0.0003368,0.0003368,0.0003368
44,253.884,3.04102,4.51019,1.30101,0.01333,0.17391,0.00299,0.00067,2.70648,3.25236,1.34681,0.0002972,0.0002972,0.0002972
45,259.615,2.44206,3.64123,1.31019,0.01333,0.17391,0.00299,0.00067,2.70648,3.25236,1.34681,0.0002576,0.0002576,0.0002576
46,265.213,3.33816,5.493,1.37336,0.01333,0.17391,0.00299,0.00067,2.70648,3.25236,1.34681,0.000218,0.000218,0.000218
