epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.34054,4.34942,8.03825,1.63557,0,0,0,0,3.34351,5.7235,1.0535,6e-05,6e-05,6e-05
2,14.7828,5.00551,13.7077,1.86157,0,0,0,0,3.17775,9.50327,1.03825,0.000137228,0.000137228,0.000137228
3,21.9993,3.98864,5.4475,1.35201,0,0,0,0,3.17775,9.50327,1.03825,0.000211288,0.000211288,0.000211288
4,29.2358,4.15666,6.18517,1.39924,0,0,0,0,3.17775,9.50327,1.03825,0.00028218,0.00028218,0.00028218
5,36.5662,4.41088,6.31584,1.50328,0,0,0,0,3.17775,9.50327,1.03825,0.000349904,0.000349904,0.000349904
6,43.8923,3.99316,5.66,1.21918,0.31663,0.54545,0.30848,0.10083,2.45707,16.2938,0.8197,0.00041446,0.00041446,0.00041446
7,51.059,3.01226,6.03443,1.071,0.31663,0.54545,0.30848,0.10083,2.45707,16.2938,0.8197,0.000475848,0.000475848,0.000475848
8,58.209,3.52771,7.09186,1.08194,0.31663,0.54545,0.30848,0.10083,2.45707,16.2938,0.8197,0.000534068,0.000534068,0.000534068
9,65.46,3.64517,6.52064,1.12252,0.31663,0.54545,0.30848,0.10083,2.45707,16.2938,0.8197,0.00058912,0.00058912,0.00058912
10,72.6566,2.95449,9.16583,1.03446,0.31663,0.54545,0.30848,0.10083,2.45707,16.2938,0.8197,0.000641004,0.000641004,0.000641004
11,80.1684,2.67953,5.18418,1.04569,0.31663,0.54545,0.30848,0.10083,2.45707,16.2938,0.8197,0.00068972,0.00068972,0.00068972
12,87.6286,3.25206,9.7357,1.12678,0.31663,0.54545,0.30848,0.10083,2.45707,16.2938,0.8197,0.000735268,0.000735268,0.000735268
13,95.2023,3.07815,4.70027,1.04495,0.31663,0.54545,0.30848,0.10083,2.45707,16.2938,0.8197,0.000777648,0.000777648,0.000777648
