epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.18305,2.94859,3.74848,1.88571,0.03333,0.41667,0.03015,0.00913,2.82921,3.53168,1.67728,2e-05,2e-05,2e-05
2,8.37067,2.6144,3.39012,1.70722,0.12197,0.20833,0.04526,0.01286,2.74659,3.29835,1.63312,5.8812e-05,5.8812e-05,5.8812e-05
3,12.4031,2.36324,3.23301,1.67982,0.12197,0.20833,0.04526,0.01286,2.74659,3.29835,1.63312,9.604e-05,9.604e-05,9.604e-05
4,16.6274,2.16117,3.72584,1.63494,0.22765,0.38084,0.19433,0.06446,2.12011,2.87582,1.42241,0.000131684,0.000131684,0.000131684
5,20.6855,2.065,2.27496,1.59535,0.22765,0.38084,0.19433,0.06446,2.12011,2.87582,1.42241,0.000165744,0.000165744,0.000165744
6,24.8199,2.53145,2.52658,1.59007,0.22765,0.38084,0.19433,0.06446,2.12011,2.87582,1.42241,0.00019822,0.00019822,0.00019822
7,28.9887,2.34882,2.22435,1.563,0.22765,0.38084,0.19433,0.06446,2.12011,2.87582,1.42241,0.000229112,0.000229112,0.000229112
8,33.0437,1.99664,2.53284,1.53328,0.22765,0.38084,0.19433,0.06446,2.12011,2.87582,1.42241,0.00025842,0.00025842,0.00025842
9,37.0649,2.01247,2.42227,1.48752,0.22765,0.38084,0.19433,0.06446,2.12011,2.87582,1.42241,0.000286144,0.000286144,0.000286144
10,41.1377,2.15938,2.21906,1.48548,0.22765,0.38084,0.19433,0.06446,2.12011,2.87582,1.42241,0.000312284,0.000312284,0.000312284
11,45.2777,1.93053,2.27082,1.57233,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.00033684,0.00033684,0.00033684
12,49.4203,2.21671,2.81869,1.42279,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.000359812,0.000359812,0.000359812
