epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5996,3.49301,23.769,1.76336,0.00925,1,0.03628,0.0254,1.10268,6.72463,1.5767,0.00012,0.00012,0.00012
2,27.818,2.86131,8.34618,1.43509,0.00167,0.5,0.00092,0.00064,1.18316,31.5753,1.52065,0.000254852,0.000254852,0.000254852
3,41.0195,3.14385,8.23032,1.18067,0.00167,0.5,0.00092,0.00064,1.18316,31.5753,1.52065,0.00038416,0.00038416,0.00038416
4,54.2832,2.71018,4.72689,1.28475,0.87013,0.5,0.56167,0.37386,1.28073,7.30704,1.49467,0.000507924,0.000507924,0.000507924
5,67.5046,2.60184,5.08274,1.30747,0.87013,0.5,0.56167,0.37386,1.28073,7.30704,1.49467,0.000626144,0.000626144,0.000626144
6,80.9427,2.84868,4.05458,1.0362,0.87013,0.5,0.56167,0.37386,1.28073,7.30704,1.49467,0.00073882,0.00073882,0.00073882
7,93.9969,2.23416,7.25302,1.51947,0.87013,0.5,0.56167,0.37386,1.28073,7.30704,1.49467,0.000845952,0.000845952,0.000845952
8,107.647,2.54616,4.25641,1.14673,0.87013,0.5,0.56167,0.37386,1.28073,7.30704,1.49467,0.00094754,0.00094754,0.00094754
9,120.972,2.51063,101.941,1.02156,0.00353,0.5,0.00213,0.00079,2.09285,78.6069,2.10844,0.00104358,0.00104358,0.00104358
10,134.291,3.08289,42.7498,1.20354,0.00353,0.5,0.00213,0.00079,2.09285,78.6069,2.10844,0.00113408,0.00113408,0.00113408
11,147.146,2.2844,107.89,1.18283,0.00353,0.5,0.00213,0.00079,2.09285,78.6069,2.10844,0.00121904,0.00121904,0.00121904
12,159.96,1.43834,135.242,1.18449,0.00353,0.5,0.00213,0.00079,2.09285,78.6069,2.10844,0.00129845,0.00129845,0.00129845
13,172.89,2.41139,113.255,1.09672,0.00353,0.5,0.00213,0.00079,2.09285,78.6069,2.10844,0.00137232,0.00137232,0.00137232
14,186.163,2.94548,33.2794,1.3735,0.00353,0.5,0.00213,0.00079,2.09285,78.6069,2.10844,0.00144064,0.00144064,0.00144064
15,199.133,2.72601,45.6846,1.51099,0.00353,0.5,0.00213,0.00079,2.09285,78.6069,2.10844,0.0014456,0.0014456,0.0014456
16,212.165,2.29965,48.0452,1.34019,0.00353,0.5,0.00213,0.00079,2.09285,78.6069,2.10844,0.001406,0.001406,0.001406
17,225.012,2.28015,50.718,1.42942,0.00353,0.5,0.00213,0.00079,2.09285,78.6069,2.10844,0.0013664,0.0013664,0.0013664
18,238.347,2.92765,35.3708,1.29229,0,0,0,0,3.89964,40.6394,4.33499,0.0013268,0.0013268,0.0013268
19,251.833,3.44758,10.4099,1.35176,0,0,0,0,3.89964,40.6394,4.33499,0.0012872,0.0012872,0.0012872
20,265.127,2.88997,10.8998,1.53542,0,0,0,0,3.89964,40.6394,4.33499,0.0012476,0.0012476,0.0012476
21,278.106,3.07041,10.1138,1.30837,0,0,0,0,3.89964,40.6394,4.33499,0.001208,0.001208,0.001208
22,291.286,3.00623,11.1226,1.37081,0,0,0,0,3.89964,40.6394,4.33499,0.0011684,0.0011684,0.0011684
23,304.511,2.94871,10.356,1.50588,0,0,0,0,3.89964,40.6394,4.33499,0.0011288,0.0011288,0.0011288
24,317.45,3.04833,8.68408,1.4811,0,0,0,0,3.89964,40.6394,4.33499,0.0010892,0.0010892,0.0010892
25,330.59,2.80482,10.3114,1.42615,0,0,0,0,3.89964,40.6394,4.33499,0.0010496,0.0010496,0.0010496
26,344.024,3.01893,11.0288,1.37072,0,0,0,0,3.89964,40.6394,4.33499,0.00101,0.00101,0.00101
27,357.059,2.64301,8.91719,1.40655,0.02761,0.5,0.01707,0.00577,2.15603,40.6692,2.96747,0.0009704,0.0009704,0.0009704
28,370.003,2.46484,6.52838,1.24388,0.02761,0.5,0.01707,0.00577,2.15603,40.6692,2.96747,0.0009308,0.0009308,0.0009308
29,383.433,2.58633,6.07033,1.27547,0.02761,0.5,0.01707,0.00577,2.15603,40.6692,2.96747,0.0008912,0.0008912,0.0008912
