epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.87993,3.21258,4.83005,1.78308,0.11508,0.04167,0.01966,0.0061,2.55447,3.86815,1.51651,2e-05,2e-05,2e-05
2,8.1923,3.03612,3.94289,1.74694,0.01333,0.16667,0.00263,0.00185,2.24969,3.67872,1.39313,5.8812e-05,5.8812e-05,5.8812e-05
3,12.2858,2.92739,4.03205,1.97939,0.01333,0.16667,0.00263,0.00185,2.24969,3.67872,1.39313,9.604e-05,9.604e-05,9.604e-05
4,16.4996,2.6233,3.66007,1.79503,0.02,0.25,0.00706,0.00413,2.00796,4.34857,1.33283,0.000131684,0.000131684,0.000131684
5,20.5134,2.56599,3.23105,1.93704,0.02,0.25,0.00706,0.00413,2.00796,4.34857,1.33283,0.000165744,0.000165744,0.000165744
6,24.5775,3.09818,4.61133,1.83627,0.02,0.25,0.00706,0.00413,2.00796,4.34857,1.33283,0.00019822,0.00019822,0.00019822
7,28.6743,3.02302,2.66149,1.69477,0.02,0.25,0.00706,0.00413,2.00796,4.34857,1.33283,0.000229112,0.000229112,0.000229112
8,32.7028,2.86927,4.14116,2.15016,0.02,0.25,0.00706,0.00413,2.00796,4.34857,1.33283,0.00025842,0.00025842,0.00025842
9,36.7846,2.91067,7.44249,2.05508,0.02,0.25,0.00706,0.00413,2.00796,4.34857,1.33283,0.000286144,0.000286144,0.000286144
10,40.9376,3.11746,2.68363,1.86225,0.02,0.25,0.00706,0.00413,2.00796,4.34857,1.33283,0.000312284,0.000312284,0.000312284
11,45.1485,2.59898,4.45268,2.09394,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.00033684,0.00033684,0.00033684
12,49.4734,3.30938,3.41332,1.76409,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.000359812,0.000359812,0.000359812
13,53.6361,2.32184,3.67719,1.61987,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.0003812,0.0003812,0.0003812
14,57.8353,2.37131,3.19765,1.46915,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.000401004,0.000401004,0.000401004
15,62.1373,3.23841,3.33705,1.73975,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.000419224,0.000419224,0.000419224
16,66.354,2.89698,3.23155,1.55663,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.00043586,0.00043586,0.00043586
17,70.5754,2.94802,3.24759,1.76234,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.000450912,0.000450912,0.000450912
18,74.7579,2.37339,3.23077,1.55538,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.00046438,0.00046438,0.00046438
19,79.0697,2.27169,3.10627,1.5192,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.000476264,0.000476264,0.000476264
20,83.3816,2.62408,3.11088,1.57493,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.000486564,0.000486564,0.000486564
21,87.5997,2.22283,3.10565,1.54296,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.00049528,0.00049528,0.00049528
22,91.8014,2.31392,3.16692,1.5637,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.000502412,0.000502412,0.000502412
23,96.015,2.93914,3.34874,1.64117,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.00050796,0.00050796,0.00050796
24,100.316,2.96598,3.39055,1.69393,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.000511924,0.000511924,0.000511924
25,104.475,3.2077,3.58765,1.67814,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.000514304,0.000514304,0.000514304
26,108.624,2.84035,3.12707,1.6416,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.0005151,0.0005151,0.0005151
27,112.768,2.39298,3.09034,1.40479,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.000514312,0.000514312,0.000514312
28,116.993,2.24828,3.03399,1.50902,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.00051194,0.00051194,0.00051194
29,121.223,2.69591,3.17056,1.67465,0.33212,0.45833,0.33213,0.14957,1.78496,2.14756,1.39561,0.000507984,0.000507984,0.000507984
30,125.439,2.64004,3.33062,1.48759,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.000502444,0.000502444,0.000502444
31,129.457,2.55532,7.01807,1.72503,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.00049532,0.00049532,0.00049532
32,133.549,1.93397,2.37274,1.28118,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.000486612,0.000486612,0.000486612
33,137.636,1.78622,2.37499,1.19004,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.00047632,0.00047632,0.00047632
34,141.758,2.3005,2.89195,1.26388,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.000464444,0.000464444,0.000464444
35,145.845,1.86142,2.77988,1.27559,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.000450984,0.000450984,0.000450984
36,150.267,2.50717,3.912,1.31974,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.00043594,0.00043594,0.00043594
37,154.548,1.86216,3.0277,1.2157,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.000419312,0.000419312,0.000419312
38,158.919,0.79949,65.8076,0.575,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.0004011,0.0004011,0.0004011
39,163.058,1.94241,2.63298,1.24872,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.000381304,0.000381304,0.000381304
40,167.126,2.01005,2.78588,1.25412,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.000359924,0.000359924,0.000359924
41,171.279,2.46143,5.74095,1.36103,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.00033696,0.00033696,0.00033696
42,175.401,2.00432,3.03259,1.45524,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.000312412,0.000312412,0.000312412
43,179.426,2.27919,5.47126,1.30084,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.00028628,0.00028628,0.00028628
44,183.543,2.08374,3.05862,1.47987,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.000258564,0.000258564,0.000258564
45,187.646,1.65942,3.71708,1.14891,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.000229264,0.000229264,0.000229264
46,191.717,2.52985,6.64606,1.47981,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.00019838,0.00019838,0.00019838
47,196.074,2.60141,6.53852,1.48678,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.000165912,0.000165912,0.000165912
48,200.206,2.23275,5.75165,1.201,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,0.00013186,0.00013186,0.00013186
49,204.31,3.09047,10.4299,1.40172,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,9.6224e-05,9.6224e-05,9.6224e-05
50,208.365,2.70668,6.85036,1.3952,0.20197,0.41667,0.15045,0.0524,2.05533,3.887,1.45724,5.9004e-05,5.9004e-05,5.9004e-05
